id_venta,fecha,cliente_id,producto,categoria,monto,metodo_pago,ciudad,vendedor,descuento_aplicado,reembolsado
30,2024-01-15,1955,Teclado,Electrónica,2065.39,Transferencia,East Heidihaven,Christine Santos,0.08,0
31,2024-01-15,1276,Audífonos,Accesorios,2476.62,Efectivo,Ruizhaven,Sean Hernandez,0.08,0
32,2024-01-15,1160,Tablet,Electrónica,1612.5,Efectivo,Dennismouth,William Elliott,0.09,0
33,2024-01-15,1459,Audífonos,Electrónica,2454.41,Tarjeta,Richardmouth,Mary Harrison,0.16,0
34,2024-01-15,1313,Celular,Electrónica,1519.37,Efectivo,West Kayla,Nancy Whitney,0.18,0
35,2024-01-15,1021,Celular,Accesorios,248.17,Tarjeta,New Stephaniemouth,Sierra Wagner,0.19,0
36,2024-01-15,1252,Teclado,Accesorios,1245.48,Tarjeta,Cookfort,Nancy Ward,0.16,1
37,2024-01-15,1747,Tablet,Accesorios,1517.52,Transferencia,North Elizabeth,Cheryl Freeman,0.06,0
38,2024-01-15,1856,Laptop,Electrónica,2174.6,Transferencia,Francischester,Terry Robinson,0.14,0
39,2024-01-15,1560,Celular,Accesorios,364.41,Transferencia,Port Damonchester,Madison Stafford,0.09,0
40,2024-01-15,1474,Teclado,Accesorios,463.05,Transferencia,Wallerview,Christine Cross,0.05,0
41,2024-01-15,1058,Mouse,Electrónica,827.87,Efectivo,West Courtney,Kayla Jackson,0.17,0
42,2024-01-15,1510,Teclado,Tecnología,836.17,Transferencia,South Michaelville,Tiffany Murphy,0.01,0
43,2024-01-15,1681,Celular,Electrónica,2209.94,Efectivo,New Kelli,Donald Aguilar,0.18,0
44,2024-01-15,1475,Celular,Accesorios,789.66,Transferencia,New Michaelchester,Alex Drake,0.09,0
45,2024-01-15,1699,Teclado,Electrónica,1917.64,Efectivo,North Annastad,Michelle Brown,0.13,0
46,2024-01-15,1975,Laptop,Tecnología,1508.11,Tarjeta,Christophermouth,Derek Peterson,0.13,0
47,2024-01-15,1782,Audífonos,Electrónica,1741.22,Efectivo,Hurstchester,Brianna Smith,0.18,0
48,2024-01-15,1189,Celular,Accesorios,2522.42,Efectivo,Troychester,Cheyenne King,0.13,1
49,2024-01-15,1957,Teclado,Tecnología,1242.93,Transferencia,North Andrew,George Kemp,0.12,0
50,2024-01-15,1686,Teclado,Accesorios,2324.19,Efectivo,Port Eric,Samuel Mercado,0.01,0
51,2024-01-15,1957,Tablet,Tecnología,1295.01,Tarjeta,East Rita,Bradley Allen,0.1,0
52,2024-01-15,1562,Audífonos,Tecnología,1093.92,Tarjeta,Jeremychester,Teresa Wyatt,0.03,0
53,2024-01-15,1875,Mouse,Electrónica,2877.95,Transferencia,North Alexview,Michael Smith,0.15,0
54,2024-01-15,1566,Laptop,Electrónica,593.89,Tarjeta,Lake Johnmouth,Jo Nelson,0.1,0
55,2024-01-15,1243,Mouse,Accesorios,316.49,Efectivo,Jessicaland,Robin Maldonado,0.14,0
56,2024-01-15,1831,Audífonos,Electrónica,2324.41,Tarjeta,Lake Markhaven,Adam Stone,0.01,0
57,2024-01-15,1504,Audífonos,Electrónica,251.34,Transferencia,North Mark,Mark Rhodes,0.02,0
58,2024-01-15,1130,Audífonos,Tecnología,2519.38,Efectivo,East Charlestown,Joseph Warren,0.14,0
59,2024-01-15,1484,Mouse,Electrónica,1339.72,Transferencia,Laceyhaven,Kimberly Johnson,0.01,0
60,2024-01-15,1818,Audífonos,Tecnología,2750.77,Efectivo,Lopezmouth,Brandon Nelson,0.01,0
61,2024-01-15,1646,Teclado,Tecnología,2178.52,Tarjeta,Danielburgh,Miguel Wolfe,0.0,0
62,2024-01-15,1020,Mouse,Tecnología,1850.69,Transferencia,Robertsstad,Jessica Stone,0.19,0
63,2024-01-15,1840,Audífonos,Accesorios,2850.46,Transferencia,North Troystad,Melissa Thompson,0.15,0
64,2024-01-15,1166,Teclado,Accesorios,1220.12,Efectivo,Reginachester,Jessica Marshall,0.07,0
65,2024-01-15,1273,Tablet,Accesorios,2864.56,Transferencia,West Maryborough,Dr. Sandra Short MD,0.06,0
66,2024-01-15,1387,Audífonos,Tecnología,448.25,Efectivo,North Sarahton,Jeffrey Brooks,0.07,0
67,2024-01-15,1600,Mouse,Accesorios,1477.08,Efectivo,Carlaland,Charles Perez,0.15,0
68,2024-01-15,1315,Celular,Accesorios,846.24,Efectivo,Port Johnport,Dr. Emily Mays,0.13,0
69,2024-01-15,1013,Audífonos,Electrónica,1642.54,Efectivo,Christopherville,Annette Price,0.04,0
70,2024-01-15,1241,Celular,Accesorios,527.94,Tarjeta,West Sarahmouth,Caroline Hernandez,0.03,0
71,2024-01-15,1776,Teclado,Accesorios,2532.51,Efectivo,West Cheryl,Michelle Martinez,0.02,0
72,2024-01-15,1345,Tablet,Tecnología,2546.9,Transferencia,North Janettown,Rhonda Fitzpatrick,0.13,0
73,2024-01-15,1564,Laptop,Tecnología,2867.95,Tarjeta,Brookestad,Jasmine Duran,0.15,0
74,2024-01-15,1897,Tablet,Tecnología,506.28,Transferencia,Riveraborough,Catherine Lynch,0.05,0
75,2024-01-15,1339,Audífonos,Tecnología,1888.83,Tarjeta,Port Courtney,Ralph Black,0.0,0
76,2024-01-15,1091,Celular,Tecnología,1449.0,Efectivo,Melissaville,Lisa Robinson,0.02,1
77,2024-01-15,1366,Celular,Tecnología,1065.93,Tarjeta,Bairdberg,Amy Daniels,0.19,0
78,2024-01-15,1955,Mouse,Accesorios,1087.04,Tarjeta,Port Stephaniestad,Dana Valencia,0.06,0
79,2024-01-15,1454,Celular,Tecnología,1267.74,Transferencia,Parksburgh,Jordan Acosta,0.15,0
80,2024-01-15,1427,Mouse,Tecnología,2129.53,Transferencia,West Sarahmouth,Ashley Page,0.12,0
81,2024-01-15,1508,Teclado,Electrónica,1814.94,Efectivo,New Nancyton,Donna Taylor,0.08,0
82,2024-01-15,1775,Laptop,Accesorios,1406.06,Tarjeta,Erikport,Jason Craig,0.04,0
83,2024-01-15,1942,Audífonos,Accesorios,274.0,Tarjeta,South Lisahaven,Alexander Mcpherson,0.02,0
84,2024-01-15,1034,Mouse,Accesorios,279.41,Tarjeta,Port Sara,Lee Pruitt,0.12,0
85,2024-01-15,1205,Laptop,Tecnología,56.9,Efectivo,Shannonview,Dr. John Williams,0.15,0
86,2024-01-15,1080,Celular,Tecnología,2904.71,Efectivo,Larsonside,Michael Thomas,0.13,0
87,2024-01-15,1931,Celular,Tecnología,65.5,Efectivo,Beckyton,Cathy Hardin,0.11,1
88,2024-01-15,1561,Laptop,Electrónica,354.13,Efectivo,New Brian,Patricia Smith,0.01,0
89,2024-01-15,1871,Celular,Tecnología,978.06,Efectivo,Matthewview,Ronald Strong MD,0.19,0
90,2024-01-15,1387,Teclado,Electrónica,2431.92,Transferencia,Powellberg,Laura Bell,0.16,0
91,2024-01-15,1001,Teclado,Accesorios,2888.19,Tarjeta,New Jonathan,Anita Anderson,0.06,0
92,2024-01-15,1389,Laptop,Tecnología,2380.54,Tarjeta,Jonesport,Erica Hill,0.2,0
93,2024-01-15,1565,Mouse,Electrónica,2087.15,Tarjeta,Wardview,Mariah Johnson,0.12,0
94,2024-01-15,1105,Mouse,Electrónica,1587.84,Tarjeta,Lake Johnhaven,Eric Coleman,0.12,0
95,2024-01-15,1771,Laptop,Tecnología,305.78,Tarjeta,Michaelmouth,Tina Harper,0.15,0
96,2024-01-15,1821,Mouse,Accesorios,2876.6,Tarjeta,East Terry,Jaclyn Roach,0.16,0
97,2024-01-15,1476,Mouse,Accesorios,2287.26,Tarjeta,Port Williamton,Matthew Gill,0.13,0
98,2024-01-15,1702,Teclado,Accesorios,1934.9,Tarjeta,Lauratown,Emily Dixon,0.03,0
99,2024-01-15,1401,Mouse,Electrónica,2289.16,Transferencia,Warrentown,Dustin Elliott,0.07,0
100,2024-01-15,1729,Tablet,Electrónica,2186.1,Tarjeta,Joemouth,Jessica Stewart,0.19,0
101,2024-01-15,1555,Audífonos,Electrónica,1929.83,Transferencia,West Darryl,David Walker,0.04,0
102,2024-01-15,1161,Celular,Electrónica,2942.7,Efectivo,Danastad,Alicia Mann,0.07,0
103,2024-01-15,1201,Tablet,Accesorios,2714.92,Tarjeta,Smithborough,Michael Barnes,0.09,0
104,2024-01-15,1957,Mouse,Tecnología,1957.66,Efectivo,Rossland,Adam Martinez,0.09,0
105,2024-01-15,1995,Teclado,Electrónica,2094.87,Efectivo,Caitlinfort,Joseph Rogers,0.12,0
106,2024-01-15,1269,Laptop,Electrónica,202.21,Efectivo,New Donald,Margaret Peterson,0.19,0
107,2024-01-15,1862,Mouse,Accesorios,2026.26,Transferencia,New Dianefort,William Good,0.05,0
108,2024-01-15,1815,Teclado,Tecnología,180.29,Efectivo,Arthurborough,Carrie Doyle,0.02,0
109,2024-01-15,1270,Audífonos,Tecnología,1785.38,Efectivo,East Shawnport,Patrick Ruiz,0.04,0
110,2024-01-15,1455,Mouse,Accesorios,2998.09,Efectivo,South Anna,James Nelson,0.18,0
111,2024-01-15,1461,Laptop,Accesorios,1689.63,Tarjeta,Wheelerton,Andrew Anderson,0.13,0
112,2024-01-15,1726,Teclado,Tecnología,1445.97,Tarjeta,North David,Andrea Cook,0.06,0
113,2024-01-15,1251,Teclado,Electrónica,972.92,Transferencia,Shannonmouth,Todd Sutton,0.16,0
114,2024-01-15,1701,Teclado,Tecnología,405.54,Transferencia,Wallacehaven,Barbara Mccormick,0.17,0
115,2024-01-15,1295,Audífonos,Accesorios,2206.52,Tarjeta,East Tammy,Ronald Silva,0.17,0
116,2024-01-15,1724,Mouse,Electrónica,618.17,Transferencia,Clarkfurt,Kristina Murray,0.18,0
117,2024-01-15,1719,Audífonos,Electrónica,390.08,Tarjeta,Deborahmouth,David Gonzalez,0.05,0
118,2024-01-15,1748,Celular,Accesorios,1294.2,Efectivo,Greenborough,Carlos Burgess,0.15,0
119,2024-01-15,1337,Celular,Accesorios,2396.26,Efectivo,Holdenland,Bradley Norton,0.09,0
120,2024-01-15,1878,Mouse,Accesorios,2247.94,Transferencia,Mortonshire,Richard Lewis,0.17,0
121,2024-01-15,1052,Audífonos,Tecnología,211.9,Tarjeta,South Sheila,Michael Miller,0.15,0
122,2024-01-15,1791,Laptop,Tecnología,1392.67,Tarjeta,South Lisaview,Samuel Sosa,0.16,0
123,2024-01-15,1921,Teclado,Electrónica,1591.18,Transferencia,South Andrew,Jessica Brown,0.13,0
124,2024-01-15,1216,Teclado,Accesorios,1951.41,Tarjeta,Charleschester,Brian Martinez,0.04,0
125,2024-01-15,1763,Mouse,Electrónica,1967.99,Efectivo,Port Garymouth,Ruth Jones,0.11,0
126,2024-01-15,1187,Celular,Electrónica,1125.86,Transferencia,North Scottberg,Jean Cruz,0.2,0
127,2024-01-15,1379,Celular,Electrónica,1704.0,Transferencia,South Danielside,Cody Herrera,0.19,0
128,2024-01-15,1492,Teclado,Electrónica,1469.13,Tarjeta,Kathychester,Don Murphy,0.01,0
129,2024-01-15,1040,Mouse,Accesorios,2660.75,Transferencia,Leslietown,Paige Gordon,0.03,0
130,2024-01-15,1156,Audífonos,Electrónica,1614.28,Tarjeta,Nicholsborough,Erin Williamson,0.03,0
131,2024-01-15,1014,Celular,Accesorios,1351.04,Tarjeta,West Timothyport,Mr. Gabriel Obrien,0.15,0
132,2024-01-15,1812,Audífonos,Accesorios,1243.23,Tarjeta,Tinaton,Sarah Cruz,0.16,0
133,2024-01-15,1064,Celular,Tecnología,1738.66,Tarjeta,North Michael,Lisa Figueroa,0.04,0
134,2024-01-15,1856,Celular,Accesorios,2421.73,Tarjeta,South Jennifer,Vanessa Robertson,0.1,0
135,2024-01-15,1838,Tablet,Tecnología,1638.28,Transferencia,Fieldsland,Jeffery Ferguson,0.17,0
136,2024-01-15,1520,Celular,Accesorios,2001.88,Efectivo,Nicoleview,Ryan Ayala,0.15,0
137,2024-01-15,1343,Laptop,Accesorios,2226.67,Efectivo,Kaneshire,Brian Brown,0.11,0
138,2024-01-15,1128,Mouse,Accesorios,1584.5,Transferencia,Port Tiffany,Melissa Stephens,0.12,0
139,2024-01-15,1647,Mouse,Tecnología,1309.11,Transferencia,Jamieview,Erika Farrell,0.1,0
140,2024-01-15,1471,Audífonos,Tecnología,2636.16,Efectivo,West Victor,Brittany Edwards,0.06,0
141,2024-01-15,1062,Celular,Electrónica,1281.64,Efectivo,Wernerberg,Patrick Dean,0.11,0
142,2024-01-15,1138,Laptop,Tecnología,1412.73,Efectivo,Fergusonchester,Angela Walker,0.14,0
143,2024-01-15,1498,Audífonos,Tecnología,2971.51,Efectivo,Brianmouth,Kevin Craig,0.17,0
144,2024-01-15,1592,Tablet,Tecnología,50.7,Efectivo,New Andrewstad,Ronald Carson,0.13,0
145,2024-01-15,1391,Audífonos,Tecnología,597.15,Tarjeta,Port Claudiatown,Tonya Monroe DVM,0.15,0
146,2024-01-15,1674,Audífonos,Electrónica,1182.69,Transferencia,West Frankbury,Bernard Brown,0.03,0
147,2024-01-15,1418,Celular,Tecnología,2801.14,Tarjeta,South Eric,Amy Velasquez,0.09,0
148,2024-01-15,1288,Tablet,Accesorios,256.59,Efectivo,Lake Christine,Eric Mcneil,0.0,0
149,2024-01-15,1378,Audífonos,Accesorios,77.98,Efectivo,Marioburgh,Matthew Curry,0.05,0
150,2024-01-15,1772,Laptop,Tecnología,205.42,Efectivo,New Jamesport,Kathleen Nelson,0.15,0
151,2024-01-15,1489,Laptop,Tecnología,311.2,Tarjeta,Nancymouth,Ashley Fischer,0.2,0
152,2024-01-15,1230,Mouse,Accesorios,160.91,Tarjeta,Andreachester,Adriana Taylor,0.02,0
153,2024-01-15,1040,Tablet,Accesorios,1465.35,Efectivo,Kaufmanland,Jennifer Roberts,0.08,0
154,2024-01-15,1027,Tablet,Electrónica,1763.23,Tarjeta,Rosalesfort,Christina Jackson,0.16,0
155,2024-01-15,1134,Mouse,Accesorios,851.48,Tarjeta,Michelehaven,Jennifer Thompson,0.04,0
156,2024-01-15,1200,Audífonos,Accesorios,1224.95,Efectivo,Omarbury,Natasha Kelly,0.11,0
157,2024-01-15,1839,Tablet,Tecnología,320.51,Tarjeta,Port Alisonstad,Monica Garrett,0.15,0
158,2024-01-15,1779,Laptop,Accesorios,1042.29,Transferencia,Michaelside,Daniel Dodson,0.12,0
159,2024-01-15,1929,Laptop,Electrónica,1591.43,Transferencia,Michaelbury,Robert Phelps,0.04,0
160,2024-01-15,1032,Celular,Accesorios,2210.2,Transferencia,South Paula,Michael Preston,0.07,0
161,2024-01-15,1047,Tablet,Tecnología,59.87,Transferencia,New Samuel,Mary Williams,0.16,0
162,2024-01-15,1502,Audífonos,Tecnología,1428.57,Efectivo,Port Melissaview,James Mcfarland,0.11,0
163,2024-01-15,1406,Mouse,Accesorios,926.16,Efectivo,Schultzstad,Kerry Malone,0.0,0
164,2024-01-15,1573,Mouse,Tecnología,2565.82,Efectivo,Kimberlyville,Bianca Oconnell,0.15,0
165,2024-01-15,1727,Audífonos,Electrónica,2160.88,Transferencia,South Jonathonton,Kevin Miller,0.01,0
166,2024-01-15,1804,Teclado,Electrónica,1787.87,Transferencia,North Marktown,Jonathan Mcdonald,0.15,0
167,2024-01-15,1098,Celular,Accesorios,867.93,Tarjeta,South Anneborough,Kristen Jones,0.04,0
168,2024-01-15,1683,Mouse,Accesorios,2735.5,Tarjeta,Jillland,Susan Bowen,0.19,0
169,2024-01-15,1871,Tablet,Accesorios,183.05,Transferencia,New Brittany,Daisy Hanson,0.07,0
170,2024-01-15,1725,Celular,Tecnología,372.93,Transferencia,Justinstad,Cody Coleman,0.07,1
171,2024-01-15,1986,Tablet,Electrónica,1205.31,Transferencia,Christopherport,Peter Velasquez,0.03,0
172,2024-01-15,1546,Laptop,Electrónica,417.09,Transferencia,South Lindsey,Mr. William Knox DDS,0.06,0
173,2024-01-15,1960,Celular,Tecnología,2871.43,Tarjeta,South Eric,Michelle Washington,0.18,0
174,2024-01-15,1738,Mouse,Electrónica,2404.07,Transferencia,North Debra,Ruth Nelson,0.2,0
175,2024-01-15,1612,Celular,Accesorios,814.0,Tarjeta,Baileyfurt,Amy Anderson,0.07,0
176,2024-01-15,1942,Celular,Accesorios,1786.23,Transferencia,West Tammymouth,Cory Perez,0.09,0
177,2024-01-15,1461,Celular,Accesorios,2947.88,Transferencia,Port Kimberly,Michael Reyes,0.14,1
178,2024-01-15,1642,Teclado,Electrónica,2658.39,Transferencia,New Joseph,Samantha Ellis PhD,0.18,0
179,2024-01-15,1768,Celular,Accesorios,1822.36,Tarjeta,Port Donbury,Yvonne Barnes,0.12,0
180,2024-01-15,1004,Tablet,Tecnología,2715.99,Tarjeta,Gardnermouth,Donna Lozano,0.08,0
181,2024-01-15,1217,Laptop,Tecnología,2968.1,Efectivo,Kimberlyland,Matthew Smith,0.08,0
182,2024-01-15,1502,Audífonos,Electrónica,2242.89,Transferencia,South Jessicabury,Joseph Pace,0.14,0
183,2024-01-15,1766,Celular,Tecnología,241.71,Efectivo,Andrewshire,Shane Barton,0.0,0
184,2024-01-15,1397,Mouse,Tecnología,1234.66,Efectivo,Deannatown,Edward Kennedy,0.12,0
185,2024-01-15,1870,Celular,Electrónica,2521.59,Tarjeta,Davidtown,Nicole Mcmahon,0.07,0
186,2024-01-15,1794,Mouse,Accesorios,730.18,Tarjeta,Tracyport,Debbie Faulkner,0.16,0
187,2024-01-15,1392,Tablet,Accesorios,2500.4,Efectivo,Port Justinfort,Ashley Orr,0.02,0
188,2024-01-15,1206,Mouse,Accesorios,405.0,Transferencia,New Scott,Regina Lester,0.12,0
189,2024-01-15,1014,Audífonos,Electrónica,188.49,Tarjeta,West Brettberg,Derek Hill,0.1,1
190,2024-01-15,1857,Laptop,Tecnología,1183.07,Transferencia,Hernandezland,Jessica Drake,0.13,0
191,2024-01-15,1553,Mouse,Accesorios,158.36,Transferencia,New Mike,Matthew Hickman,0.01,0
192,2024-01-15,1891,Mouse,Accesorios,2873.95,Efectivo,East Nicoleton,Michelle Ferguson,0.12,0
193,2024-01-15,1460,Laptop,Electrónica,2487.31,Efectivo,East Danielborough,Ann Bond,0.11,0
194,2024-01-15,1690,Audífonos,Accesorios,2412.27,Efectivo,Lake Rileyberg,Carolyn Williams,0.11,1
195,2024-01-15,1574,Celular,Electrónica,1907.84,Efectivo,West Omar,Kevin Miller,0.12,0
196,2024-01-15,1863,Mouse,Tecnología,688.16,Tarjeta,Jamieville,Joshua Morris,0.14,1
197,2024-01-15,1742,Laptop,Electrónica,1578.87,Tarjeta,New Matthewside,Kristen Hawkins,0.16,0
198,2024-01-15,1240,Tablet,Electrónica,1811.96,Efectivo,Jillton,Denise Cooley,0.05,0
199,2024-01-15,1563,Laptop,Electrónica,1598.84,Tarjeta,Romanfort,John Santos,0.17,0
200,2024-01-15,1095,Tablet,Electrónica,817.69,Efectivo,Port Luis,Lindsey May,0.1,0
201,2024-01-15,1899,Audífonos,Tecnología,1569.98,Transferencia,North Jonathanmouth,Lisa Roth,0.02,0
202,2024-01-15,1733,Celular,Tecnología,1499.0,Transferencia,Michaelaberg,Rebecca Patton,0.01,0
203,2024-01-15,1484,Laptop,Accesorios,2989.19,Transferencia,Berryborough,Aaron Clark,0.07,0
204,2024-01-15,1406,Teclado,Tecnología,2697.44,Efectivo,Stacyfort,Madison Martin,0.16,0
205,2024-01-15,1230,Mouse,Tecnología,1416.97,Transferencia,New Lucasmouth,Michael Bowen,0.14,0
206,2024-01-15,1748,Audífonos,Accesorios,1887.67,Tarjeta,Jensenview,Dana Hernandez,0.16,0
207,2024-01-15,1654,Laptop,Tecnología,2256.22,Transferencia,East Jasonhaven,Vicki Mitchell,0.1,0
208,2024-01-15,1170,Mouse,Electrónica,152.85,Transferencia,Lake Valeriefurt,Angel Tyler,0.09,0
209,2024-01-15,1540,Laptop,Electrónica,2690.02,Transferencia,Collinsberg,Brittany Zimmerman,0.03,0
210,2024-01-15,1035,Tablet,Accesorios,2587.37,Tarjeta,North Robertfort,Rebecca Francis,0.07,0
211,2024-01-15,1524,Laptop,Accesorios,1399.42,Efectivo,Jeffreybury,Rita Ross,0.09,0
212,2024-01-15,1159,Teclado,Accesorios,1203.95,Tarjeta,Davisburgh,Deanna Gay,0.02,0
213,2024-01-15,1838,Laptop,Electrónica,855.23,Efectivo,West Jose,Julie Duarte,0.04,1
214,2024-01-15,1698,Laptop,Tecnología,1456.2,Efectivo,South Barbara,Jay Cowan,0.12,0
215,2024-01-15,1242,Teclado,Electrónica,180.91,Transferencia,Smithton,John Sanchez,0.15,0
216,2024-01-15,1085,Audífonos,Accesorios,2563.97,Efectivo,Feliciatown,Danielle Horton,0.2,0
217,2024-01-15,1795,Laptop,Tecnología,154.5,Tarjeta,Salazarfurt,Jason Long,0.19,0
218,2024-01-15,1577,Teclado,Tecnología,1020.7,Tarjeta,Georgefort,Debra Vega,0.13,0
219,2024-01-15,1681,Mouse,Electrónica,2798.19,Efectivo,Harrellmouth,Brittany Martinez,0.08,0
220,2024-01-15,1556,Tablet,Accesorios,2218.88,Transferencia,Atkinsonburgh,Samantha Rogers,0.13,0
221,2024-01-15,1573,Tablet,Electrónica,880.1,Transferencia,West Davidside,Peter Lara,0.16,0
222,2024-01-15,1952,Laptop,Tecnología,795.31,Tarjeta,Andrewbury,Brian Thompson,0.02,1
223,2024-01-15,1645,Audífonos,Electrónica,64.99,Transferencia,West Jonathon,Elizabeth Walsh,0.08,0
224,2024-01-15,1795,Audífonos,Electrónica,2102.36,Efectivo,South Amandabury,Nicholas Burns,0.17,0
225,2024-01-15,1027,Mouse,Accesorios,193.91,Efectivo,Port Corey,Rhonda Moore,0.08,0
226,2024-01-15,1619,Laptop,Accesorios,1621.18,Tarjeta,Traciberg,Donald Reyes,0.11,0
227,2024-01-15,1555,Tablet,Tecnología,2888.26,Efectivo,Michaelville,Krista Brooks,0.12,0
228,2024-01-15,1339,Audífonos,Electrónica,372.93,Tarjeta,South Mitchellton,Felicia Williams,0.04,0
229,2024-01-15,1797,Laptop,Electrónica,2688.72,Efectivo,South Anthony,Amy Miller,0.07,0
230,2024-01-15,1957,Audífonos,Electrónica,2974.85,Tarjeta,Lake Donnachester,Mary Ferrell,0.07,0
231,2024-01-15,1330,Teclado,Tecnología,231.48,Transferencia,Blackberg,Chelsea Smith,0.01,0
232,2024-01-15,1639,Audífonos,Tecnología,2654.57,Efectivo,Isabellastad,Amy Avila,0.0,0
233,2024-01-15,1505,Tablet,Accesorios,1572.43,Efectivo,New Kyle,Joshua Harper,0.17,1
234,2024-01-15,1347,Celular,Accesorios,2724.22,Tarjeta,Elizabethborough,Christopher Johnson,0.05,0
235,2024-01-15,1472,Mouse,Accesorios,1735.39,Tarjeta,Port Stephaniehaven,Shannon Moore,0.1,0
236,2024-01-15,1230,Mouse,Electrónica,2003.23,Efectivo,New Michelle,Laura Parks,0.06,0
237,2024-01-15,1189,Tablet,Electrónica,1654.15,Tarjeta,Garyhaven,Sean Ford,0.19,0
238,2024-01-15,1224,Audífonos,Accesorios,2600.25,Efectivo,New Monicachester,Brandi Medina,0.05,0
239,2024-01-15,1384,Laptop,Electrónica,2215.03,Transferencia,New Trevor,Monica Cole,0.09,0
240,2024-01-15,1376,Audífonos,Accesorios,1587.72,Tarjeta,Port Shaunberg,Scott Turner,0.17,0
241,2024-01-15,1282,Tablet,Tecnología,2611.07,Efectivo,West Jeremyburgh,Amanda Hampton,0.17,0
242,2024-01-15,1957,Mouse,Accesorios,773.59,Transferencia,North Matthew,Amanda Kemp,0.04,0
243,2024-01-15,1632,Audífonos,Tecnología,514.15,Transferencia,North Andrew,Grace Fisher,0.16,0
244,2024-01-15,1627,Mouse,Electrónica,523.18,Efectivo,Josephbury,Justin Robertson,0.09,0
245,2024-01-15,1972,Laptop,Accesorios,1035.33,Tarjeta,North Michael,Nicholas Taylor,0.1,0
246,2024-01-15,1744,Mouse,Electrónica,754.14,Efectivo,East Larryland,Mr. Joshua Collins DDS,0.03,0
247,2024-01-15,1258,Mouse,Tecnología,2793.77,Transferencia,West Laura,Joshua Middleton,0.02,1
248,2024-01-15,1358,Celular,Tecnología,362.21,Efectivo,Tamarachester,Troy Kramer,0.15,0
249,2024-01-15,1709,Celular,Tecnología,2112.02,Tarjeta,Rivasville,David Wilson,0.1,0
250,2024-01-15,1455,Teclado,Electrónica,608.2,Transferencia,Carrieburgh,Brett Solomon,0.09,0
251,2024-01-15,1410,Celular,Electrónica,2650.83,Efectivo,Lake Denise,Melinda Adams,0.15,0
